latitude,,longitude
40.44077499,,-79.94202383
40.44077416,,-79.94200678
40.44077634,,-79.94200642
40.440774,,-79.94200314
40.44077236,,-79.94200469
40.44077135,,-79.9420038
40.44077059,,-79.94200426
40.44077008,,-79.94200365
40.44076978,,-79.94200297
40.44076987,,-79.94200198
40.4407693,,-79.94200561
40.44076901,,-79.9420045
40.44076851,,-79.94200689
40.44076838,,-79.94200585
40.44076602,,-79.94200405
40.4407639,,-79.94200242
40.44076169,,-79.94200138
40.44075967,,-79.94200036
40.4407584,,-79.9419991
40.44075721,,-79.94199873
40.44075638,,-79.94199749
40.4407555,,-79.94199704
40.44075476,,-79.94199577
40.44075452,,-79.94199515
40.44075365,,-79.9419942
40.44075338,,-79.94199366
40.44075272,,-79.9419927
40.44075236,,-79.94199402
40.44075176,,-79.94199311
40.4407514,,-79.94199426
40.44075086,,-79.94199342
40.44075055,,-79.94199443
40.44075005,,-79.94199358
40.44074977,,-79.94199431
40.44074951,,-79.94199324
40.44074938,,-79.94199367
40.44074906,,-79.94199254
40.44074875,,-79.94199284
40.4407484,,-79.94199177
40.44074811,,-79.94199203
40.44074788,,-79.94199102
40.44074763,,-79.94199125
40.44074737,,-79.94199027
40.44074752,,-79.94199087
40.44074729,,-79.94198997
40.44074705,,-79.94199021
40.44074677,,-79.94198931
40.44074652,,-79.94198942
40.44074623,,-79.94198919
40.44074599,,-79.94198926
40.44074573,,-79.94198906
40.44074546,,-79.94198909
40.44074518,,-79.94198888
40.44074496,,-79.94198889
40.44074468,,-79.94198868
40.44074449,,-79.94198881
40.4407443,,-79.94198809
40.44074415,,-79.94198761
40.44074399,,-79.94198717
40.44074381,,-79.94198677
40.44074359,,-79.94198614
40.44074343,,-79.94198577
40.44074331,,-79.94198522
40.44074313,,-79.94198489
40.4407429,,-79.94198443
40.44074271,,-79.94198405
40.44074254,,-79.94198349
40.44074242,,-79.94198316
40.44074281,,-79.9419829
40.44074323,,-79.94198283
40.44074358,,-79.94198259
40.44074395,,-79.94198252
40.44074432,,-79.94198221
40.44074464,,-79.94198258
40.44074493,,-79.94198223
40.44074524,,-79.9419826
40.44074553,,-79.94198235
40.44074578,,-79.94198276
40.44074605,,-79.94198247
40.44074633,,-79.94198282
40.44074658,,-79.94198252
40.4407468,,-79.94198279
40.44074702,,-79.94198251
40.4407472,,-79.94198291
40.44074742,,-79.94198264
40.4407476,,-79.94198294
40.44074767,,-79.94198255
40.44074767,,-79.94198301
40.44074763,,-79.94198287
40.44074754,,-79.94198344
40.44074744,,-79.94198327
40.44074733,,-79.94198366
40.44074728,,-79.94198341
40.44074712,,-79.94198368
40.44074707,,-79.94198356
40.44074713,,-79.94198341
40.44074733,,-79.9419832
40.44074729,,-79.94198318
40.44074762,,-79.94198339
40.44074755,,-79.94198348
40.4407476,,-79.94198376
40.44074739,,-79.94198373
40.44074719,,-79.94198377
40.44074686,,-79.94198413
40.44074656,,-79.94198452
40.44074613,,-79.94198492
40.44074579,,-79.94198513
40.4407454,,-79.94198565
40.44074503,,-79.94198573
40.44074459,,-79.94198602
40.4407441,,-79.94198608
40.44074351,,-79.94198627
40.44074294,,-79.94198639
40.44074229,,-79.94198678
40.44074174,,-79.94198707
40.44074101,,-79.94198755
40.44074032,,-79.941988
40.44073958,,-79.94198868
40.44073883,,-79.94198871
40.44073801,,-79.94198917
40.44073719,,-79.9419892
40.44073638,,-79.94198964
40.44073562,,-79.94198969
40.440735,,-79.94198995
40.44073444,,-79.94199026
40.440734,,-79.94199125
40.44073356,,-79.94199234
40.44073328,,-79.94199323
